model,params,fit_time_ms,train_mse,test_mse
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'penalty': 'none'}",19401.616096496582,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.1, 'penalty': 'none'}",19094.285488128662,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.5, 'penalty': 'none'}",18917.40322113037,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.9, 'penalty': 'none'}",19017.192840576172,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.1, 'penalty': 'none'}",19007.543087005615,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.5, 'penalty': 'none'}",19087.061643600464,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.9, 'penalty': 'none'}",19348.333835601807,1.3048685789108276,1.260315179824829
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'penalty': 'l2'}",21982.138633728027,1.3079804182052612,1.2635583877563477
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'penalty': 'l2'}",22041.361331939697,1.3079804182052612,1.2635583877563477
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'penalty': 'l2'}",21450.35719871521,1.3079804182052612,1.2635583877563477
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'penalty': 'l1'}",21972.541570663452,1.309442400932312,1.2651606798171997
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'penalty': 'l1'}",21837.77093887329,1.309442400932312,1.2651606798171997
SGDRegressor,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'penalty': 'l1'}",22033.24270248413,1.309442400932312,1.2651606798171997
KNNRegressor,{'n_neighbors': 6},96.26078605651855,0.9136291742324829,1.2705641984939575
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.1, 'penalty': 'l2'}",16965.56520462036,1.333800196647644,1.2904417514801025
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.5, 'penalty': 'l2'}",16795.11523246765,1.333800196647644,1.2904417514801025
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.9, 'penalty': 'l2'}",16840.47794342041,1.333800196647644,1.2904417514801025
KNNRegressor,{'n_neighbors': 5},97.17321395874023,0.8723800182342529,1.3011101484298706
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.1, 'penalty': 'l1'}",19774.44577217102,1.3553053140640259,1.313094139099121
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.5, 'penalty': 'l1'}",19374.016046524048,1.3553053140640259,1.313094139099121
SGDRegressor,"{'alpha': 0.001, 'l1_ratio': 0.9, 'penalty': 'l1'}",19730.306386947632,1.3553053140640259,1.313094139099121
KNNRegressor,{'n_neighbors': 4},94.45595741271973,0.8125160336494446,1.3487604856491089
KNNRegressor,{'n_neighbors': 3},93.91355514526367,0.7172284722328186,1.4333887100219727
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.1, 'penalty': 'l2'}",8016.4690017700195,1.4852986335754395,1.4459785223007202
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.5, 'penalty': 'l2'}",8115.404844284058,1.4852986335754395,1.4459785223007202
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.9, 'penalty': 'l2'}",8071.959972381592,1.4852986335754395,1.4459785223007202
KNNRegressor,{'n_neighbors': 2},104.79998588562012,0.531295895576477,1.6073625087738037
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.1, 'penalty': 'l1'}",3664.698362350464,1.673841118812561,1.6378073692321777
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.5, 'penalty': 'l1'}",3766.5674686431885,1.673841118812561,1.6378073692321777
SGDRegressor,"{'alpha': 0.01, 'l1_ratio': 0.9, 'penalty': 'l1'}",3787.297248840332,1.673841118812561,1.6378073692321777
